Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,DE,2019,"12        ",Female,16,Right-Handed,62,20.32,154.9,1,Bus,20-25,0.603,53,Athletics,1000,872,947,957,524,775,24.13,"Left foot",76.2,76.2,"Same length",October,Summer,No,No,"No favorite",Water,History,5-6,8-9,3,"Yes - broadband connection","In person",30,47,15,20,7,45,25,0,20,20,59,60,0,10,"Very little","Graduate degree",Other,Telepathy,Rich,Relative,Other
USA,DE,2017,"12        ",Male,17,Right-Handed,181,24,194,2,Car,30,.647,35,Basketball,100,300,1000,200,500,800,24,"Same length",80,90,"Ring finger",May,Summer,Yes,No,Meat,Water,"Social studies",8,10,6,"Yes - broadband connection","Text messaging",100,300,7,4,5,8,10,4,3,6,10,9,4,5,Some,"Graduate degree",Country,Fly,Happy,Relative,Health
USA,DE,2015,"12        ",,17,Right-Handed,157.8,25,,1,Car,10,.119,40,"Football (American)",900,1000,1000,1000,800,800,25,"Same length",60,50,"Index finger",November,Fall,No,No,Meat,Water,History,7,8,4,"Yes - broadband connection","Text messaging",50,50,24,2,3,4,14,1,3,4,1,2,0,1,Some,"Graduate degree",Country,Fly,Healthy,Other,Other
USA,DE,2013,"12        ",Male,18,Ambidextrous,177.4,28.5,188.8,1,Car,20,.211,25,"Football (American)",878,278,1000,1000,1000,1000,28,"Same length",360,372,"Ring finger",December,Summer,No,No,Poultry,Milk,"Mathematics and statistics",6,6,7,"Yes - broadband connection","Text messaging",850,952,30,5,0,7,9,0,3,25,50,50,10,60,None,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,Health
USA,DE,2018,"12        ",Male,17,Right-Handed,167.5,26.2,162,1,Car,30,.79,50,Basketball,100,500,100,1000,700,1000,26.7,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2016,"12        ",Male,18,Left-Handed,155,15,56,1,Car,15,0.28,88,Golf,600,890,550,750,900,800,15,"Right foot",83,70,"Index finger",December,Winter,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",6,9,4,"Yes - broadband connection","Text messaging",10,15,10,1,15,12,1,28,3,2,20,0,0,14,"Very little","Undergraduate degree","Heavy metal","Freeze time",Happy,Relative,Health
USA,DE,2014,"12        ",Male,17,Left-Handed,180,30,184,1,Car,30,.78,40,Soccer,200,400,500,500,700,800,26.67,"Right foot",101.6,101.6,"Same length",February,Fall,Yes,No,"No favorite",Water,English,5,8,4,"Yes - broadband connection","Text messaging",45,388,24,1,2,3,10,10,5,7,15,7,0,4,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person","International aid"
USA,DE,2013,"12        ",Male,17,Right-Handed,167.6,25.4,160.0,1,Car,65,.322,45,"Football (American)",100,700,200,400,1000,1000,25.4,"Same length",76.2,76.2,"Same length",November,Fall,No,No,Meat,Water,English,6,9,5,"Yes - broadband connection","Cell phone",80,70,8,3,3,2,2,2,28,8,20,2,0,1,"A lot","Undergraduate degree","Rock and roll",Telepathy,Happy,Friend,"Arts, culture, sports"
USA,DE,2015,"9         ",Female,18,Ambidextrous,168,22,168,2,Bus,5,.384,37.86,Other,800,600,1000,1000,300,1000,21,"Right foot",58,64,"Ring finger",December,Winter,Yes,No,Pizza/Pasta,Coffee,Art,6,10,3,"Yes - dial-up connection","Cell phone",268,342,40,10,25,8,1,1,30,50,60,50,30,50,"A lot","Undergraduate degree",Other,"Freeze time",Happy,Friend,"Education/Youth development"
USA,DE,2019,"12        ",Male,17,Right-Handed,178,28,185,2,Bus,30,0.315,50,Lacrosse,,,,,,,28,"Same length",89,89,"Same length",May,Spring,No,No,Poultry,Water,Science,6,9,7,"Yes - broadband connection","Text messaging",100,200,1,90,14,45,14,1,1,1,1,2,14,1,"A lot","Graduate degree",Other,"Freeze time",Happy,"Sports person",Health
